company_keyword,linkedin_url
Logistics Tech,https://www.linkedin.com/company/example-logistics-tech-1
FinTech B2B platform,https://www.linkedin.com/company/example-fintech-b2b-platform-2
Media Tech,https://www.linkedin.com/company/example-media-tech-3
Travel SaaS,https://www.linkedin.com/company/example-travel-saas-4
Insurance Tech,https://www.linkedin.com/company/example-insurance-tech-5
Biotech SaaS,https://www.linkedin.com/company/example-biotech-saas-6
GreenTech,https://www.linkedin.com/company/example-greentech-7
Marketing Automation,https://www.linkedin.com/company/example-marketing-automation-8
Legal Tech,https://www.linkedin.com/company/example-legal-tech-9
Logistics Tech,https://www.linkedin.com/company/example-logistics-tech-10
Education AI,https://www.linkedin.com/company/example-education-ai-11
PropTech,https://www.linkedin.com/company/example-proptech-12
FinTech B2B platform,https://www.linkedin.com/company/example-fintech-b2b-platform-13
eCommerce Automation,https://www.linkedin.com/company/example-ecommerce-automation-14
AI SaaS,https://www.linkedin.com/company/example-ai-saas-15
AgriTech,https://www.linkedin.com/company/example-agritech-16
Travel SaaS,https://www.linkedin.com/company/example-travel-saas-17
Legal Tech,https://www.linkedin.com/company/example-legal-tech-18
eCommerce Automation,https://www.linkedin.com/company/example-ecommerce-automation-19
AgriTech,https://www.linkedin.com/company/example-agritech-20
Biotech SaaS,https://www.linkedin.com/company/example-biotech-saas-21
Healthcare SaaS,https://www.linkedin.com/company/example-healthcare-saas-22
Construction SaaS,https://www.linkedin.com/company/example-construction-saas-23
FinTech B2B platform,https://www.linkedin.com/company/example-fintech-b2b-platform-24
Retail Analytics,https://www.linkedin.com/company/example-retail-analytics-25
Healthcare SaaS,https://www.linkedin.com/company/example-healthcare-saas-26
Education AI,https://www.linkedin.com/company/example-education-ai-27
AgriTech,https://www.linkedin.com/company/example-agritech-28
Logistics Tech,https://www.linkedin.com/company/example-logistics-tech-29
Real Estate AI,https://www.linkedin.com/company/example-real-estate-ai-30
AgriTech,https://www.linkedin.com/company/example-agritech-31
Logistics Tech,https://www.linkedin.com/company/example-logistics-tech-32
Cybersecurity SaaS,https://www.linkedin.com/company/example-cybersecurity-saas-33
HR Tech,https://www.linkedin.com/company/example-hr-tech-34
AI SaaS,https://www.linkedin.com/company/example-ai-saas-35
HR Tech,https://www.linkedin.com/company/example-hr-tech-36
Legal Tech,https://www.linkedin.com/company/example-legal-tech-37
HR Tech,https://www.linkedin.com/company/example-hr-tech-38
Cybersecurity SaaS,https://www.linkedin.com/company/example-cybersecurity-saas-39
Insurance Tech,https://www.linkedin.com/company/example-insurance-tech-40
eCommerce Automation,https://www.linkedin.com/company/example-ecommerce-automation-41
Cybersecurity SaaS,https://www.linkedin.com/company/example-cybersecurity-saas-42
Marketing Automation,https://www.linkedin.com/company/example-marketing-automation-43
Logistics Tech,https://www.linkedin.com/company/example-logistics-tech-44
Construction SaaS,https://www.linkedin.com/company/example-construction-saas-45
Real Estate AI,https://www.linkedin.com/company/example-real-estate-ai-46
eCommerce Automation,https://www.linkedin.com/company/example-ecommerce-automation-47
PropTech,https://www.linkedin.com/company/example-proptech-48
Legal Tech,https://www.linkedin.com/company/example-legal-tech-49
Logistics Tech,https://www.linkedin.com/company/example-logistics-tech-50
AI SaaS,https://www.linkedin.com/company/example-ai-saas-51
AI SaaS,https://www.linkedin.com/company/example-ai-saas-52
Retail Analytics,https://www.linkedin.com/company/example-retail-analytics-53
Retail Analytics,https://www.linkedin.com/company/example-retail-analytics-54
Construction SaaS,https://www.linkedin.com/company/example-construction-saas-55
AgriTech,https://www.linkedin.com/company/example-agritech-56
GreenTech,https://www.linkedin.com/company/example-greentech-57
